,ACN,FNAME,LNM,TAXID,INC,EMAIL,PERS,DOB,SEX,MAD1,MAD2,MAD3,MZIP,MCITY,MSTATE,MCNTRY,AD1P,PAD2,PAD3,PZIP,PCITY,PSTATE,PCNTRY,BOO,RESCD
0,99999997952,Ryan,Richard,865506880,89784,jason.hunter@mail.com,0,12.02.1998,FEMALE,Red Bud Lane,92,,57852,Centennial,TX,US,Grasselli Street,90,11,56722,Winston Salem,NJ,US,120,1
1,99999997952,Second,Smith,450824896,64603,peter.bear@mail.com,0,24.10.1990,MALE,Circle Drive,420,,85421,Salina,CO,US,Faulkner Knolls,474,19,89459,Wayne,GA,US,645,1
2,102210633728,Ryan,Hamilton,489469568,59065,norma.sullivan@mail.com,0,24.10.1990,MALE,Chang Manor,86,1,90098,Michigan,AL,US,Michael Island,86,,90185,Tekoa,OH,US,1241,1
3,99999997952,Norma,Coulthard,498524960,54786,david.coulthard@mail.com,0,12.02.1998,FEMALE,Brown Plaza,468,,2327,Wenatchee,NJ,US,Grasselli Street,483,19,2327,Washington,VA,US,2097,1
4,199999995904,Ryan,Fisher,387418880,881290,jonathan.green@mail.com,1,04.12.1980,COMPANY,Snider Street,73,1,79410,Salina,VT,US,Red Bud Lane,42,,16211,Hillsboro Upper Vill,MI,US,9000,1
5,101342806016,Jonathan,Fisher,498524960,62023,john.smith@server.com,0,04.12.1980,MALE,Snider Street,31,1,35933,Bryantville,WY,US,Chang Manor,31,19,46051,Wheatland,GA,US,2961,1
6,102561906688,Jorge,Wagner,865506880,89781,norma.sullivan@mail.com,0,11.03.1980,FEMALE,Brown Plaza,89,2,56624,Santa Monica,VT,US,Hull Village Suite,89,76,56666,Winston Salem,TX,US,120,1
7,99999997952,Jonathan,Hamilton,498524960,54992,norma.sullivan@mail.com,0,24.10.1990,FEMALE,Brown Plaza,467,2,2327,Centennial,MS,US,Queens Lane,472,2,2327,Manhattan,ND,US,2109,1
8,128134651904,Jonathan,Bear,223784064,58089,deanna.wagner@mail.com,0,13.12.1975,MALE,Hummingbird Way,16,,5347,Salina,WA,US,Chang Manor,30,,75276,Michigan,WA,US,3194,1
9,100514119680,Jonathan,Company,498524960,84675,katherine.chang@mail.com,0,14.01.1990,MALE,Honeysuckle Lane,761,8,77520,Houston,KS,US,Wilson Avenue,761,11,77197,Howardborough,MA,US,125,1
10,101920866304,David,Richard,224652288,58961,second@company.com,0,11.07.1985,MALE,Christine Glen,16,,11865,Aberdeen,KY,US,Faulkner Knolls,23,76,75231,Manhattan,CA,US,2048,1
11,102566428672,Ryan,Company,865506880,79506,jonathan.green@mail.com,0,24.10.1990,FEMALE,Ritter Street,23,,99847,West Donald,MA,US,Grasselli Street,1,,52952,Santa Monica,IL,US,24,1
12,106858422272,Jonathan,Richard,865506880,80213,kayla.montgomery@mail.com,0,12.02.1998,FEMALE,Faulkner Knolls,24,,99847,Wayne,WA,US,Hull Village Suite,1,,55738,Denver,MA,US,23,1
13,199999995904,Second,Company,91062184,67281,second@company.com,0,12.02.1998,MALE,Red Bud Lane,35,1,70153,Centennial,MA,US,Jessica Squares,89,,84463,Manhattan,NC,US,12,1
14,100124221440,Jorge,Fangio,224652288,64299,jennifer.woods@mail.com,0,11.03.1980,MALE,Archwood Avenue,174,,87252,Houston,KY,US,Faulkner Knolls,218,76,89047,Hillsboro Upper Vill,NH,US,808,1
15,99999997952,William,Dixon,498524960,83842,jonathan.green@mail.com,0,12.02.1998,MALE,Chang Manor,743,38,78021,New York,MA,US,Honeysuckle Lane,753,19,77208,Hullport,WA,US,132,1
16,99999997952,Peter,Chang,42348380,75245,jonathan.green@mail.com,0,22.02.1999,FEMALE,William Haven,220,2,5962,Washington,MA,US,Jessie Street,24,19,40163,Washington,PA,US,81,2
17,99999997952,Third,Sullivan,42348380,44000,second@company.com,0,22.02.1999,MALE,Archwood Avenue,2991,21,98522,Washington,KY,US,Grasselli Street,2974,11,98509,Michigan,IN,US,2044,1
18,102122299392,Deanna,Smith,42348380,49926,david.coulthard@mail.com,0,01.01.2000,MALE,Snider Street,27,8,7851,Jamaica,MI,US,Dane Street,27,76,7848,Denver,MS,US,4213,1
19,99999997952,Megan,Coulthard,498524960,55006,second@company.com,0,24.10.1990,FEMALE,Hummingbird Way,466,38,2327,Washington,WY,US,Grasselli Street,476,1,2327,Hullport,ND,US,2095,1
20,105219940352,Norma,Chang,42348380,44000,david.coulthard@mail.com,0,11.04.2012,MALE,Ritter Street,2901,1,98211,Santa Monica,OH,US,Faulkner Knolls,2950,,98550,Manhattan,WA,US,2049,1
21,199999995904,Second,Bear,865506880,89991,john.smith@server.com,0,23.05.2000,FEMALE,Ritter Street,99,8,59327,Michigan,CO,US,Michael Island,88,,53139,Dallas,MI,US,1241,1
22,132359413760,Peter,Woods,798413440,76994,norma.sullivan@mail.com,0,11.04.2012,MALE,Hull Village Suite,35,,99618,Wenatchee,OH,US,Courtright Street,3,,49737,Denver,ND,US,1310,1
23,99999997952,Robert,Chang,489469568,66132,jonathan.green@mail.com,0,24.10.1990,MALE,Hummingbird Way,202,,86150,Jamaica,CO,US,Wilson Avenue,190,,89300,Denver,OH,US,597,1
24,104770232320,Sarah,Bear,498524960,83370,ryan.hamilton@mail.com,0,11.03.1980,MALE,Hull Village Suite,749,2,77181,West Donald,KS,US,Michael Island,657,,75442,Wayne,PA,US,926,1
25,99999997952,Jonathan,Bear,481245632,59524,david.coulthard@mail.com,0,04.12.1980,FEMALE,Faulkner Knolls,86,2,89929,Michigan,OH,US,Chang Manor,82,19,89916,Winston Salem,OH,US,1237,1
26,99999997952,Robert,Sullivan,42348376,60000,ryan.hamilton@mail.com,0,17.03.1980,FEMALE,Hull Village Suite,132,,54221,Huntsville,WA,US,Jessie Street,2330,,51586,Wheatland,OH,US,2017,1
27,105035907072,MM,Green,498524960,55563,robert.fisher@mail.com,0,24.10.1990,FEMALE,Hull Village Suite,424,2,2331,Centennial,IN,US,Michael Island,4246,2,2329,Mcgregor,PA,US,2077,1
28,120138579968,Jorge,Hunter,42592788,60840,jason.hunter@mail.com,0,10.06.1977,FEMALE,Chang Manor,163,,71963,Bryantville,KS,US,Hull Village Suite,730,,56262,Winston Salem,NY,US,2022,1
29,101785698304,Katherine,Fisher,224652288,56317,norma.sullivan@mail.com,0,15.07.1991,MALE,William Haven,28,,10402,Aberdeen,WA,US,Burke Street,29,,19240,Hullport,IN,US,4072,1
30,100557856768,John,Company,224652288,62777,jason.hunter@mail.com,0,27.04.1989,MALE,William Haven,115,,89378,Aberdeen,NY,US,Grasselli Street,110,,89383,Oak Hill,WA,US,986,1
31,99999997952,Kayla,Company,211188000,59841,deanna.wagner@mail.com,0,12.02.1998,MALE,Sullivan Tunnel,3021,38,67836,Jamaica,AL,US,Red Bud Lane,305,11,3742,Michigan,OH,US,5050,2
32,103813734400,Jason,Fisher,224652288,49026,ryan.hamilton@mail.com,0,24.10.1990,FEMALE,Honeysuckle Lane,232,8,74403,Denver,KY,US,Faulkner Knolls,4705,,58332,Dallas,MS,US,1384,2
33,199999995904,David,Company,79464352,46384,kayla.montgomery@mail.com,1,01.10.2022,COMPANY,Chang Manor,76,,86320,Wenatchee,NJ,US,Jessica Squares,507,,99033,Bryantville,NJ,US,8211,1
34,99999997952,Jonathan,Smith,495799840,79143,kayla.montgomery@mail.com,0,10.06.1977,MALE,Jonathan Pass,550,,80174,Mountain View,CO,US,Wilson Avenue,567,,81473,Hillsboro Upper Vill,OH,US,336,1
35,102988390400,Jonathan,Hamilton,42348380,60000,robert.fisher@mail.com,0,27.04.1989,FEMALE,Red Bud Lane,138,,53739,Salina,MI,US,Sullivan Tunnel,2329,11,51401,Danville,TX,US,2021,1
36,99999997952,Kayla,Company,367925984,58787,ryan.hamilton@mail.com,0,13.12.1975,MALE,Faulkner Knolls,447,21,75372,Michigan,AL,US,Chang Manor,4699,1,72959,Wayne,PA,US,1069,2
37,111754018816,William,Fangio,224652288,73241,jorge.fangio@mail.com,0,24.10.1990,FEMALE,Sullivan Tunnel,212,,30356,Fort Washington,FL,US,Queens Lane,89,76,47779,Manhattan,WA,US,1224,2
38,99999997952,Norma,Bear,224652288,64430,katherine.chang@mail.com,0,11.07.1985,FEMALE,Pheasant Ridge Road,249,,39158,Mountain View,MA,US,Courtright Street,3470,2,42227,Washington,MS,US,2313,2
39,100675756032,Jason,Fisher,498524960,83870,john.smith@server.com,0,06.08.1998,MALE,Sullivan Tunnel,766,1,77218,Huntsville,WY,US,Jessie Street,758,19,76899,Manhattan,IL,US,223,1
40,101039521792,Megan,Company,224652288,63642,jennifer.woods@mail.com,0,24.10.1990,MALE,Honeysuckle Lane,120,,89340,Mountain View,NJ,US,Jones Avenue,117,2,89359,Mcgregor,GA,US,948,1
41,199999995904,Norma,Fisher,865506880,113303,mm@company.com,0,01.10.2022,FEMALE,Ritter Street,118,1,77054,West Tammyfort,NJ,US,Faulkner Knolls,80,,49946,Mcgregor,GA,US,4078,1
42,104725921792,Jorge,Sullivan,42348380,44000,jonathan.green@mail.com,0,11.04.2012,MALE,Archwood Avenue,2882,38,98418,Huntsville,WY,US,Hull Village Suite,3070,11,98524,Howardborough,OH,US,2057,1
43,100033404928,David,Wagner,865506880,79656,william.dixon@mail.com,0,10.06.1977,FEMALE,Christine Glen,23,,99847,Wayne,IN,US,Chang Manor,1,,55049,Oak Hill,IN,US,20,1
44,103773749248,Jorge,Fisher,42348380,44000,jennifer.woods@mail.com,0,11.07.1985,MALE,Ritter Street,2981,,98245,Santa Monica,MS,US,Grasselli Street,2958,,98264,Hillsboro Upper Vill,OH,US,2045,1
45,104107687936,William,Chang,42348380,44000,david.coulthard@mail.com,0,24.10.1990,MALE,Chang Manor,2990,,98160,Aberdeen,CO,US,Chang Manor,3048,,98315,Aberdeen,PA,US,2045,1
46,99999997952,Jason,Montgomery,42348376,77006,david.coulthard@mail.com,0,14.01.1990,FEMALE,Sullivan Tunnel,646,,5805,New York,VT,US,Jones Avenue,23,,34487,Hillsboro Upper Vill,MI,US,39,2
47,108037013504,Katherine,Company,490766880,63820,david.coulthard@mail.com,0,22.02.1999,MALE,Burke Street,83,,30399,Michigan,WY,US,Michael Island,31,2,33275,Aberdeen,MS,US,2852,1
48,100028497920,Jorge,Company,128318552,136380,second@company.com,0,11.04.2012,MALE,William Haven,35,,50430,West Tammyfort,WA,US,Sullivan Tunnel,34,,49927,Oak Hill,NY,US,10,1
49,100286406656,David,Green,42348380,60000,sarah.fisher@mail.com,0,24.10.1990,FEMALE,Hull Village Suite,132,,53976,Wayne,CO,US,Dane Street,2358,1,51501,Michigan,MA,US,2020,1
50,101231968256,Robert,Hunter,865506880,89935,david.coulthard@mail.com,0,11.03.1980,FEMALE,Circle Drive,90,1,56488,West Donald,IN,US,Oakwood Avenue,89,,56501,Oak Hill,GA,US,120,1
51,101321195520,Jonathan,Chang,498524960,83650,second@company.com,0,05.11.1991,MALE,Archwood Avenue,747,,77518,Fort Washington,WA,US,Eagles Nest Drive,743,,77062,Michigan,NJ,US,202,1
52,100069957632,Robert,Montgomery,42348380,44000,william.dixon@mail.com,0,11.03.1980,MALE,Chang Manor,2976,2,98364,Huntsville,NJ,US,Jones Avenue,2958,,98490,Howardborough,MA,US,2049,1
53,103388307456,Ryan,Fisher,65240408,60160,jennifer.woods@mail.com,0,13.12.1975,FEMALE,Hull Village Suite,127,8,62348,Salina,PA,US,Queens Lane,544,11,53352,Dallas,IN,US,1301,1
54,100645879808,Sarah,Hunter,498524960,55134,john.smith@server.com,0,11.03.1980,FEMALE,Faulkner Knolls,564,,2327,Centennial,WY,US,Red Bud Lane,476,,2327,Danville,NJ,US,2152,1
55,100301824000,Peter,Green,865506880,89702,john.smith@server.com,0,13.12.1975,FEMALE,Marion Street,90,21,56628,Aberdeen,KY,US,Jonathan Pass,89,,56430,Denver,NH,US,120,1
56,103718871040,Jonathan,Company,42348380,60000,jennifer.woods@mail.com,0,11.04.2012,FEMALE,Christine Glen,131,,54387,Santa Monica,MA,US,Hull Village Suite,1157,2,52310,Denver,NY,US,1697,1
57,99999997952,Robert,Green,165368192,61970,peter.bear@mail.com,0,24.10.1990,FEMALE,Red Bud Lane,226,,41648,Centennial,CO,US,Burke Street,3456,,43677,Tekoa,MI,US,2236,1
58,99999997952,Kayla,Richard,224652288,57133,jonathan.green@mail.com,0,23.05.2000,MALE,Sullivan Tunnel,28,,16568,Salina,CO,US,Jones Avenue,29,,24965,Wayne,IL,US,3907,1
59,101720170496,John,Sullivan,865506880,86668,sarah.fisher@mail.com,0,06.08.1998,FEMALE,Marion Street,89,8,68882,Mountain View,AL,US,Burke Street,89,,58694,Danville,IN,US,120,1
60,118941564928,Robert,Chang,224652288,78812,deanna.wagner@mail.com,0,10.06.1977,FEMALE,Pheasant Ridge Road,132,21,77163,Wenatchee,WY,US,Jonathan Pass,14,,50445,Bryantville,IN,US,120,2
61,99999997952,William,Fisher,498524960,54150,jonathan.green@mail.com,0,24.10.1990,FEMALE,Archwood Avenue,462,1,2327,Denver,MS,US,Red Bud Lane,473,1,2327,Wayne,OH,US,2103,1
62,101931802624,Peter,Sullivan,42348380,44000,mm@company.com,0,15.07.1991,MALE,Chang Manor,2947,8,98096,Fort Washington,PA,US,Eagles Nest Drive,3066,,98263,Wayne,IL,US,2044,1
63,191448481792,David,Hunter,224652288,115530,second@company.com,0,01.01.2000,FEMALE,Ritter Street,69,1,53515,West Tammyfort,IN,US,Sullivan Tunnel,91,,46713,Manhattan,MS,US,10,1
64,109596172288,David,Company,224652288,89566,jennifer.woods@mail.com,0,01.01.2000,MALE,Honeysuckle Lane,42,1,31937,Huntsville,VT,US,Jessica Squares,60,76,43283,Oak Hill,VA,US,10,2
65,114943467520,Jonathan,Company,287879712,85862,jason.hunter@mail.com,0,24.10.1990,FEMALE,Brown Plaza,87,8,53190,Aberdeen,OH,US,Red Bud Lane,109,,50282,Santa Monica,IL,US,11,1
66,199999995904,William,Hamilton,124676688,50000,deanna.wagner@mail.com,1,13.12.1975,COMPANY,Marion Street,35,,81982,West Tammyfort,VT,US,Wilson Avenue,104,,99033,Wayne,OH,US,9000,1
67,144370499584,Katherine,Fangio,498524960,80232,david.coulthard@mail.com,0,19.06.1994,MALE,Snider Street,754,38,78935,Huntsville,VT,US,Red Bud Lane,780,2,89700,Wheatland,NH,US,766,1
68,99999997952,Robert,Smith,468718400,58962,sarah.fisher@mail.com,0,01.01.2000,FEMALE,Jonathan Pass,87,,89899,Salina,MA,US,Red Bud Lane,92,,90004,Wayne,VA,US,1245,1
69,102705537024,Norma,Dixon,224652288,55508,jonathan.green@mail.com,0,12.02.1998,MALE,Brown Plaza,28,,10404,Wenatchee,VT,US,Jessie Street,29,,18271,Danville,VA,US,4098,1
70,100830961664,Jennifer,Hunter,223295120,65477,robert.fisher@mail.com,0,19.06.1994,MALE,Snider Street,126,,89249,West Donald,PA,US,Grasselli Street,125,76,89231,Washington,WA,US,930,1
71,99999997952,Second,Dixon,507120256,55259,robert.fisher@mail.com,0,04.12.1980,FEMALE,Jonathan Pass,460,8,2327,Houston,FL,US,Oakwood Avenue,468,,2327,Winston Salem,NJ,US,2113,1
72,99999997952,Katherine,Fisher,495766496,61087,megan.richard@mail.com,0,17.03.1980,MALE,Chang Manor,87,,89366,Bryantville,NY,US,Chang Manor,83,76,89446,Hullport,MS,US,948,1
73,104687017984,Jason,Wagner,297082048,70099,second@company.com,0,04.12.1980,FEMALE,Christine Glen,395,8,14618,Santa Monica,WA,US,Jessica Squares,3055,11,28321,Hullport,VA,US,2866,2
74,100894728192,Kayla,Coulthard,42348380,44000,mm@company.com,0,17.03.1980,MALE,Archwood Avenue,2959,38,98145,Mountain View,MS,US,Sullivan Tunnel,3074,,98324,Denver,NY,US,2044,1
75,100673585152,Kayla,Coulthard,224652288,57903,second@company.com,0,19.06.1994,MALE,William Haven,16,,5386,Mountain View,KY,US,Wilson Avenue,30,11,75383,Washington,NC,US,2400,1
76,106745520128,Jennifer,Sullivan,445621024,59150,megan.richard@mail.com,0,14.01.1990,MALE,Chang Manor,87,8,89969,New York,NY,US,Grasselli Street,86,,89973,West Donald,NH,US,1258,1
